"","num_attributes","defense","tpr"
"1",0,"round",0.52
"2",0,"noise",0.48
"3",0,"subsample",0.48
"4",50,"round",0.14
"5",50,"noise",0
"6",50,"subsample",0.16
"7",100,"round",0.13
"8",100,"noise",0
"9",100,"subsample",0.25
"10",150,"round",0.19
"11",150,"noise",0
"12",150,"subsample",0.28
"13",200,"round",0.27
"14",200,"noise",0
"15",200,"subsample",0.25
"16",250,"round",0.27
"17",250,"noise",0.02
"18",250,"subsample",0.29
"19",300,"round",0.27
"20",300,"noise",0.02
"21",300,"subsample",0.29
"22",350,"round",0.27
"23",350,"noise",0
"24",350,"subsample",0.29
"25",400,"round",0.27
"26",400,"noise",0.02
"27",400,"subsample",0.29
"28",450,"round",0.33
"29",450,"noise",0
"30",450,"subsample",0.29
"31",500,"round",0.33
"32",500,"noise",0
"33",500,"subsample",0.29
"34",550,"round",0.33
"35",550,"noise",0
"36",550,"subsample",0.29
"37",600,"round",0.47
"38",600,"noise",0
"39",600,"subsample",0.29
"40",650,"round",0.42
"41",650,"noise",0
"42",650,"subsample",0.29
"43",700,"round",0.37
"44",700,"noise",0
"45",700,"subsample",0.29
"46",750,"round",0.37
"47",750,"noise",0
"48",750,"subsample",0.29
"49",800,"round",0.39
"50",800,"noise",0
"51",800,"subsample",0.29
"52",850,"round",0.4
"53",850,"noise",0
"54",850,"subsample",0.29
"55",900,"round",0.43
"56",900,"noise",0
"57",900,"subsample",0.29
"58",950,"round",0.37
"59",950,"noise",0
"60",950,"subsample",0.29
"61",1000,"round",0.43
"62",1000,"noise",0
"63",1000,"subsample",0.29
"64",1050,"round",0.44
"65",1050,"noise",0
"66",1050,"subsample",0.29
"67",1100,"round",0.4
"68",1100,"noise",0.08
"69",1100,"subsample",0.29
"70",1150,"round",0.43
"71",1150,"noise",0
"72",1150,"subsample",0.29
"73",1200,"round",0.37
"74",1200,"noise",0
"75",1200,"subsample",0.29
"76",1250,"round",0.44
"77",1250,"noise",0
"78",1250,"subsample",0.29
"79",1300,"round",0.37
"80",1300,"noise",0
"81",1300,"subsample",0.29
"82",1350,"round",0.48
"83",1350,"noise",0.19
"84",1350,"subsample",0.29
"85",1400,"round",0.37
"86",1400,"noise",0.19
"87",1400,"subsample",0.29
"88",1450,"round",0.44
"89",1450,"noise",0.08
"90",1450,"subsample",0.29
"91",1500,"round",0.44
"92",1500,"noise",0.19
"93",1500,"subsample",0.29
"94",1550,"round",0.5
"95",1550,"noise",0.11
"96",1550,"subsample",0.29
"97",1600,"round",0.44
"98",1600,"noise",0.19
"99",1600,"subsample",0.29
"100",1650,"round",0.37
"101",1650,"noise",0.19
"102",1650,"subsample",0.29
"103",1700,"round",0.42
"104",1700,"noise",0.19
"105",1700,"subsample",0.29
"106",1750,"round",0.42
"107",1750,"noise",0.19
"108",1750,"subsample",0.29
"109",1800,"round",0.45
"110",1800,"noise",0.19
"111",1800,"subsample",0.29
"112",1850,"round",0.42
"113",1850,"noise",0.08
"114",1850,"subsample",0.29
"115",1900,"round",0.44
"116",1900,"noise",0.11
